,mass,year,reclat,reclong,log(mass)
99,960.0,2004,40.30583,-105.02325,2.9822712330395684
100,13.9,1859,42.53333,-73.83333,1.1430148002540952
101,2000.0,1859,43.21667,-0.23333,3.3010299956639813
102,1100.0,1921,33.88333,35.5,3.041392685158225
103,18.0,1877,20.88333,74.83333,1.255272505103306
104,678.0,2002,26.50833,73.11528,2.8312296938670634
105,100.0,1893,20.83333,71.46667,2.0
106,1047.0,1940,22.68333,90.65,3.0199466816788423
107,2500.0,1905,22.08333,86.9,3.3979400086720375
108,4000.0,1827,53.1,23.2,3.6020599913279625
109,1900.0,1887,50.13333,27.16667,3.278753600952829
110,25000.0,1999,12.45,-0.08333,4.3979400086720375
111,488.1,1984,-33.15639,115.67639,2.6885088076565213
112,560.0,1923,13.76667,5.3,2.7481880270062002
113,6000.0,1843,34.16667,-80.28333,3.7781512503836434
114,1039.0,1895,25.38333,82.6,3.016615547557177
115,1850.0,1796,49.78333,30.16667,3.2671717284030137
116,330000.0,1899,60.4,25.8,5.518513939877887
117,705.0,1941,40.91667,-78.08333,2.848189116991399
118,2381.0,1906,36.83333,-97.33333,3.37675939540488
119,5100.0,1909,31.83333,-98.83333,3.7075701760979363
120,470.0,1833,49.36667,16.63333,2.6720978579357175
121,67.8,1938,40.48,-89.00417,1.8312296938670634
122,7500.0,1977,33.83333,115.83333,3.8750612633917
123,56.0,1804,23.0,-102.0,1.7481880270062005
124,8800.0,1962,12.5,0.7,3.9444826721501687
125,256000.0,1916,44.55,131.63333,5.408239965311849
126,1676.0,1808,44.86667,10.05,3.2242740142942576
127,8600.0,1894,21.95,78.03333,3.934498451243568
128,1342.0,1930,54.23333,52.48333,3.1277525158329733
129,7000.0,1852,48.15,24.28333,3.845098040014257
130,500.0,1812,55.46667,35.86667,2.6989700043360187
131,614.0,1823,51.33333,33.88333,2.788168371141168
132,190.0,2003,17.71067,-11.3715,2.278753600952829
133,3599.0,2011,17.17493,-11.34133,3.5561818466529114
134,5460.0,1969,54.56667,-6.33333,3.7371926427047373
135,762.0,1886,40.5,-80.08333,2.8819549713396007
136,39000.0,1847,50.6,16.3,4.5910646070264995
137,1500.0,1956,50.66694,8.18361,3.1760912590556813
138,7250.0,1855,53.4,9.1,3.8603380065709936
139,219.0,1933,52.13333,59.31667,2.3404441148401185
140,303000.0,1960,53.9,-112.88333,5.481442628502305
141,5300.0,2001,39.77978,64.60035,3.724275869600789
142,324.0,2007,-31.35,129.19,2.510545010206612
143,357.0,1942,10.01667,9.58333,2.552668216112193
144,120000.0,1919,5.0,48.0,5.079181246047625
145,1504.0,1990,37.62194,-82.23722,3.1772478362556233
146,25000.0,1946,40.2,29.23333,4.3979400086720375
147,5000.0,1863,46.45,25.78333,3.6989700043360187
148,1500.0,1852,26.78333,82.83333,3.1760912590556813
149,29000.0,1861,27.08333,84.08333,4.4623979978989565
150,41000.0,2008,52.996,-109.84817,4.6127838567197355
151,25000.0,1870,37.98333,-1.16667,4.3979400086720375
152,48500.0,1886,35.5,-93.5,4.685741738602264
153,212.0,1919,43.83889,20.33333,2.326335860928751
154,478.0,2007,3.405,-76.51,2.6794278966121188
155,2400.0,1916,11.75,122.33333,3.380211241711606
156,23680.0,1991,-7.03333,-40.16667,4.3743816980508825
157,4000.0,1964,39.8,26.6,3.6020599913279625
158,945.0,1861,41.25,1.66667,2.975431808509263
159,34000.0,1866,43.38333,-5.15,4.531478917042255
